nuts_2,country,year,urban_pop_10k,n_cities_10k,largest_city,largest_city_pop,urban_pop_5k,national_urb_ratio,national_total_pop_k,total_pop_est_k,confidence
FRK2,FR,1650,73.0,2,Lyon,58.0,96.0,0.1223809524,21000.0,596.498054381868,high
FRK2,FR,1700,127.0,3,Lyon,97.0,162.0,0.1381398165,21471.0,919.3583951228138,high
FRK2,FR,1750,137.0,2,Lyon,114.0,177.0,0.1435,24000.0,954.7038327526133,high
FRK2,FR,1800,150.0,4,Lyon,109.0,206.0,0.1352068966,29000.0,1109.4108641792463,high
FRK2,FR,1850,291.0,9,Lyon,177.0,339.0,0.1628610729,36350.0,1786.7989865121417,high
FRK2,FR,1900,767.0,15,Lyon,459.0,772.0,0.2719099463,40598.0,2820.786846663432,high
FRL0,FR,1500,34.0,2,Marseille,21.0,39.0,0.1259333333,15000.0,269.9841186527221,medium
FRL0,FR,1550,45.0,2,Marseille,30.0,56.0,0.12664234235,16750.0,355.331393631634,medium
FRL0,FR,1600,71.0,3,Marseille,43.0,88.0,0.1273513514,18500.0,557.5127332335477,high
FRL0,FR,1650,100.0,3,Marseille,62.0,125.0,0.1223809524,21000.0,817.120622440915,high
FRL0,FR,1700,152.0,4,Marseille,90.0,201.0,0.1381398165,21471.0,1100.3344571548637,high
FRL0,FR,1750,155.0,4,Marseille,95.0,224.0,0.1435,24000.0,1080.1393728222997,high
FRL0,FR,1800,167.0,4,Marseille,101.0,266.0,0.1352068966,29000.0,1235.1440954528944,high
FRL0,FR,1850,343.0,6,Marseille,195.0,451.0,0.1628610729,36350.0,2106.089527057267,high
FRL0,FR,1900,887.0,15,Marseille,491.0,925.0,0.2719099463,40598.0,3262.1094302352853,high
FRM0,FR,1500,0.0,0,,0.0,0.0,0.1259333333,15000.0,,low_no_large_city
FRM0,FR,1550,0.0,0,,0.0,0.0,0.12664234235,16750.0,,low_no_large_city
FRM0,FR,1600,0.0,0,,0.0,0.0,0.1273513514,18500.0,,low_no_large_city
FRM0,FR,1650,0.0,0,,0.0,0.0,0.1223809524,21000.0,,low_no_large_city
FRM0,FR,1700,0.0,0,,0.0,0.0,0.1381398165,21471.0,,low_no_large_city
FRM0,FR,1750,0.0,0,,0.0,6.0,0.1435,24000.0,,low_no_large_city
FRM0,FR,1800,11.0,1,Bastia,11.0,27.0,0.1352068966,29000.0,81.35679670647806,high
FRM0,FR,1850,32.0,2,Bastia,22.0,37.0,0.1628610729,36350.0,196.48648648930768,high
FRM0,FR,1900,48.0,2,Bastia,26.0,53.0,0.2719099463,40598.0,176.52903342874149,high
ITC1,IT,1500,15.0,1,Torino,15.0,67.0,0.2453333333,10500.0,61.141304356133325,high
ITC1,IT,1550,26.0,2,Torino,15.0,82.0,0.25961323155000005,11800.0,100.14897871256052,high
ITC1,IT,1600,81.0,7,Torino,16.0,118.0,0.2738931298,13100.0,295.7357859218563,high
ITC1,IT,1650,89.0,7,Torino,24.0,128.0,0.3255454545,11000.0,273.3873220152733,high
ITC1,IT,1700,115.0,8,Torino,40.0,159.0,0.2736090226,13300.0,420.30777679478473,high
ITC1,IT,1750,148.0,7,Torino,69.0,225.0,0.2782666667,15000.0,531.8639194379655,high
ITC1,IT,1800,252.0,12,Torino,82.0,320.0,0.2583684211,19000.0,975.3513952173932,high
ITC1,IT,1850,305.0,12,Torino,137.0,445.0,0.2512264922,24460.0,1214.0439383167889,high
ITC1,IT,1900,808.0,23,Torino,329.0,874.0,0.3387681159,33672.0,2385.112299761148,high
ITC2,IT,1500,0.0,0,,0.0,0.0,0.2453333333,10500.0,,low_no_large_city
ITC2,IT,1550,0.0,0,,0.0,0.0,0.25961323155000005,11800.0,,low_no_large_city
ITC2,IT,1600,0.0,0,,0.0,0.0,0.2738931298,13100.0,,low_no_large_city
ITC2,IT,1650,0.0,0,,0.0,0.0,0.3255454545,11000.0,,low_no_large_city
ITC2,IT,1700,0.0,0,,0.0,0.0,0.2736090226,13300.0,,low_no_large_city
ITC2,IT,1750,0.0,0,,0.0,0.0,0.2782666667,15000.0,,low_no_large_city
ITC2,IT,1800,0.0,0,,0.0,5.0,0.2583684211,19000.0,,low_no_large_city
ITC2,IT,1850,0.0,0,,0.0,7.0,0.2512264922,24460.0,,low_no_large_city
ITC2,IT,1900,0.0,0,,0.0,8.0,0.3387681159,33672.0,,low_no_large_city
ITC3,IT,1500,58.0,1,Genova,58.0,68.0,0.2453333333,10500.0,236.4130435103822,high
ITC3,IT,1550,60.0,1,Genova,60.0,72.0,0.25961323155000005,11800.0,231.1130277982166,high
ITC3,IT,1600,74.0,2,Genova,63.0,79.0,0.2738931298,13100.0,270.17837232367117,high
ITC3,IT,1650,64.0,1,Genova,64.0,79.0,0.3255454545,11000.0,196.59313043794933,high
ITC3,IT,1700,65.0,1,Genova,65.0,83.0,0.2736090226,13300.0,237.56526514487834,high
ITC3,IT,1750,87.0,1,Genova,87.0,111.0,0.2782666667,15000.0,312.64973642637165,high
ITC3,IT,1800,90.0,1,Genova,90.0,129.0,0.2583684211,19000.0,348.33978400621186,high
